"炭水化物抜きダイエットについて教えて。","diet_carbocut"
"炭水化物を控えるダイエットを教えて。","diet_carbocut"
"糖質制限や炭水化物抜きダイエットって何のこと?","diet_carbocut"
"糖質制限ダイエットって何?","diet_carbocut"
"低糖質ダイエットについて教えて。","diet_carbocut"
"雑穀米ダイエットについて教えて。","diet_cereals"
"雑穀米ダイエットって何を食べればいいの?","diet_cereals"
"雑穀ダイエットのやり方を教えて。","diet_cereals"
"雑穀ダイエットって何?","diet_cereals"
"雑穀を食べて痩せたい。","diet_cereals"
"雑穀ダイエットって?","diet_cereals"
"食べたいものは食べてやせたいんだけど。","diet_eatlimit"
"食事の制限しないでダイエットしたいんだけど","diet_eatlimit"
"食事制限はしたくないのだけど。","diet_eatlimit"
"食事制限は嫌だ。","diet_eatlimit"
"ご飯の量は減らしたくないのですが。","diet_eatlimit"
"食事制限はしたほうがいいの?","diet_eatlimit"
"食べたいものを我慢せずやせたい。","diet_eatlimit"
"食事の量を減らすのは難しいです。","diet_eatlimit"
"食べる量はそのままでやせることはできますか?","diet_eatlimit"
"食事に制限がない方法でダイエットしたい。","diet_eatlimit"
"ダイエット中に不足しがちな栄養は?","diet_eiyou"
"ダイエット中でもとったほうがいい栄養って何ですか?","diet_eiyou"
"必要な栄養素にはどのようなものがありますか?","diet_eiyou"
"ダイエット中に必要な栄養素はありますか?","diet_eiyou"
"ダイエットで不足しないよう気をつけるべき栄養素はありますか?","diet_eiyou"
"ダイエットってどんな方法があるの?","diet_houhou"
"ダイエットする方法はありますか?","diet_houhou"
"ダイエットする方法を何か教えてください。","diet_houhou"
"いいダイエット方法を知ってますか?","diet_houhou"
"ダイエットの方法。","diet_houhou"
"小顔になりたいなぁ。","diet_kogao"
"顔がどうしてもやせません。","diet_kogao"
"コガオになりたい","diet_kogao"
"小顔に効果のあるダイエットを教えてください。","diet_kogao"
"小顔にあこがれます。","diet_kogao"
"顔小さくなりたい","diet_kogao"
"小顔になるにはどうすればいいですか?","diet_kogao"
"骨盤周りを細くしたい。","diet_lowerbody"
"足を細くしたい。","diet_lowerbody"
"下半身ダイエットしたい。","diet_lowerbody"
"美脚になりたい","diet_lowerbody"
"腰まわりが気になる","diet_lowerbody"
"下半身太りを解消したい。","diet_lowerbody"
"下半身を痩せさせたい。","diet_lowerbody"
"ダイエット効果でないわ","diet_motivation"
"色々と試していますが成果が出ません。","diet_motivation"
"がんばっているのに成果が出ません。","diet_motivation"
"ダイエットがうまくいきません。","diet_motivation"
"ダイエット続かないな","diet_motivation"
"いろんな種類のダイエットを試しましたがだめでした。","diet_motivation"
"色んなダイエット法をしているのですが、あまり効果がありません。","diet_motivation"
"いろんなダイエットをやっているのですがうまくいかないのです。","diet_motivation"
"ダイエットやめます","diet_stop"
"諦めようかな。","diet_stop"
"ダイエットもう無理。","diet_stop"
"ダイエットやめたいんだけど。","diet_stop"
"もう諦めたい。","diet_stop"
"ダイエットやめようかと思います。","diet_stop"
"ダイエットつらい。","diet_stop"
"運動もきらいだし、食事制限などできないのです。","diet_undou"
"運動する気が起きません。","diet_undou"
"運動きらい。","diet_undou"
"身体を動かさずにやせたい。","diet_undou"
"運動はやりたくありません。","diet_undou"
"運動は嫌。","diet_undou"
"体を動かすのは苦手。","diet_undou"
"さようなら。","general_bye"
"さよなら。","general_bye"
"またお願いします","general_bye"
"また明日。","general_bye"
"またね。","general_bye"
"特に用はないです。","general_bye"
"バイバイ。","general_bye"
"こんばんは。","general_hello"
"はじめまして。","general_hello"
"はじめまして。こんにちは。 ","general_hello"
"こんにちは。","general_hello"
"よろしくお願いします。","general_hello"
"おはようございます。","general_hello"
"何のために生きてるの?","general_howareyou"
"調子はどう?","general_howareyou"
"お元気ですか?","general_howareyou"
"ご機嫌いかがですか?","general_howareyou"
"なにやっているの?","general_howareyou"
"答えが違います。","general_sorry"
"間違っています。","general_sorry"
"言っていることが分かりません。","general_sorry"
"会話になっていません。","general_sorry"
"あまり賢くない。","general_sorry"
"つかえないなあ","general_sorry"
"答えになっていません。","general_sorry"
"何言ってるの?","general_sorry"
"ありがとうございました。頑張ります。","general_thanks"
"ありがとう。","general_thanks"
"どうも、ありがとう。","general_thanks"
"教えてくれてありがとう。","general_thanks"
"がんばります。","general_thanks"
"感謝します","general_thanks"
"ありがとうございます。","general_thanks"
"あなたは誰ですか?","general_whoareyou"
"名前を教えてください。","general_whoareyou"
"名前は?","general_whoareyou"
"だれですか？","general_whoareyou"
"自己紹介して。","general_whoareyou"
"誰?","general_whoareyou"
